"rules","support","confidence","coverage","lift","count"
"{tartine} => {coffee}",0.00306391970417327,0.630434782608696,0.00486001056524036,1.31781475649101,29
"{bakewell} => {coffee}",0.00306391970417327,0.604166666666667,0.00507131537242472,1.26290580830389,29
"{vegan mincepie} => {coffee}",0.00316957210776545,0.576923076923077,0.00549392498679345,1.20595780103289,30
"{extra salami or feta} => {coffee}",0.00327522451135763,0.815789473684211,0.00401479133650291,1.70526664496931,31
"{keeping it local} => {coffee}",0.00538827258320127,0.80952380952381,0.00665610142630745,1.69216935890964,51
"{the nomad} => {coffee}",0.00327522451135763,0.53448275862069,0.00612783940834654,1.11724366394541,31
"{frittata} => {coffee}",0.00454305335446381,0.530864197530864,0.00855784469096672,1.10967968852244,43
"{smoothies} => {coffee}",0.00401479133650291,0.493506493506494,0.00813523507659799,1.03158987655454,38
"{hearty & seasonal} => {coffee}",0.00570522979397781,0.54,0.0105652403592182,1.12877650176678,54
"{salad} => {coffee}",0.00655044902271527,0.626262626262626,0.010459587955626,1.30909358603705,62
"{jam} => {bread}",0.00507131537242472,0.338028169014085,0.0150026413100898,1.03307607998654,48
"{jam} => {coffee}",0.00412044374009509,0.274647887323944,0.0150026413100898,0.574103854576221,39
"{chicken stew} => {coffee}",0.0051769677760169,0.398373983739837,0.0129952456418384,0.832731836593984,49
"{jammie dodgers} => {bread}",0.004648705758056,0.352,0.0132065504490227,1.07577655795932,44
"{jammie dodgers} => {coffee}",0.00665610142630745,0.504,0.0132065504490227,1.05352473498233,63
"{mineral water} => {coffee}",0.00559957739038563,0.395522388059701,0.0141574220813524,0.826771069563841,53
"{tiffin} => {bread}",0.00486001056524036,0.315068493150685,0.0154252509244585,0.962907099667818,46
"{tiffin} => {coffee}",0.00845219228737454,0.547945205479452,0.0154252509244585,1.14538457814996,80
"{coke} => {sandwich}",0.0051769677760169,0.266304347826087,0.0194400422609614,3.70672154731458,49
"{coke} => {coffee}",0.00644479661912309,0.331521739130435,0.0194400422609614,0.692988794361653,61
"{spanish brunch} => {tea}",0.004648705758056,0.255813953488372,0.0181722134178553,1.79354005167959,44
"{spanish brunch} => {bread}",0.00475435816164818,0.261627906976744,0.0181722134178553,0.799582867140744,45
"{spanish brunch} => {coffee}",0.0108821975699947,0.598837209302326,0.0181722134178553,1.25176550045197,103
"{truffles} => {coffee}",0.0075013206550449,0.369791666666667,0.0202852614896989,0.772985451634276,71
"{toast} => {coffee}",0.0236661384046487,0.70440251572327,0.0335974643423138,1.47243149543303,224
"{scone} => {bread}",0.00908610670892763,0.262996941896024,0.0345483359746434,0.803766888939577,86
"{scone} => {coffee}",0.0180665610142631,0.522935779816514,0.0345483359746434,1.0931067040555,171
"{soup} => {tea}",0.00908610670892763,0.263803680981595,0.0344426835710512,1.84955691888207,86
"{soup} => {coffee}",0.0158478605388273,0.460122699386503,0.0344426835710512,0.961806835179605,150
"{muffin} => {coffee}",0.0188061278394083,0.489010989010989,0.0384574749075541,1.02219280278026,178
"{alfajores} => {bread}",0.0103539355520338,0.284883720930233,0.0363444268357105,0.870656899775477,98
"{alfajores} => {coffee}",0.0196513470681458,0.540697674418605,0.0363444268357105,1.13023486934013,186
"{brownie} => {bread}",0.0107765451664025,0.269129287598945,0.0400422609614369,0.8225084621001,102
"{brownie} => {coffee}",0.0196513470681458,0.490765171503958,0.0400422609614369,1.0258596175541,186
"{juice} => {coffee}",0.0206022187004754,0.534246575342466,0.0385631273111463,1.11674996369621,195
"{cookies} => {bread}",0.0144743792921289,0.266019417475728,0.0544109878499736,0.813004128643128,137
"{cookies} => {coffee}",0.0282091917591125,0.518446601941748,0.0544109878499736,1.08372285498645,267
"{medialuna} => {bread}",0.0169043845747491,0.273504273504274,0.0618066561014263,0.83587922141361,160
"{medialuna} => {coffee}",0.0351822503961965,0.569230769230769,0.0618066561014263,1.18987836368578,333
"{hot chocolate} => {coffee}",0.0295826730058109,0.507246376811594,0.0583201267828843,1.06031072361346,280
"{sandwich} => {coffee}",0.0382461701003698,0.532352941176471,0.0718436344426836,1.11279164934525,362
"{pastry} => {bread}",0.0291600633914422,0.338650306748466,0.0861067089276281,1.03497744700492,276
"{pastry} => {coffee}",0.0475435816164818,0.552147239263804,0.0861067089276281,1.15416820221553,450
"{cake} => {coffee}",0.0547279450607501,0.526958290946083,0.103856312731115,1.10151506709467,518
"{tea} => {coffee}",0.0498679344955098,0.34962962962963,0.142630744849445,0.730840204161759,472
"{bread} => {coffee}",0.0900158478605388,0.275104940264772,0.327205493924987,0.575059244612648,852
"{tea,toast} => {coffee}",0.00327522451135763,0.508196721311475,0.00644479661912309,1.06229725424318,31
"{bread,toast} => {coffee}",0.00369783412572636,0.472972972972973,0.00781827786582145,0.98866810715309,35
"{scone,tea} => {coffee}",0.00338087691494982,0.40506329113924,0.00834653988378236,0.846714675493134,32
"{bread,scone} => {coffee}",0.003486529318542,0.383720930232558,0.00908610670892763,0.802102165338154,33
"{sandwich,soup} => {coffee}",0.00359218172213418,0.653846153846154,0.00549392498679345,1.36675217450394,34
"{alfajores,tea} => {coffee}",0.00306391970417327,0.453125,0.00676175382989963,0.947179356227915,29
"{alfajores,bread} => {coffee}",0.00433174854727945,0.418367346938776,0.0103539355520338,0.874524500612966,41
"{bread,brownie} => {coffee}",0.00380348652931854,0.352941176470588,0.0107765451664025,0.737762419455415,36
"{cookies,juice} => {coffee}",0.00369783412572636,0.603448275862069,0.00612783940834654,1.26140413671256,35
"{cake,juice} => {coffee}",0.00390913893291072,0.552238805970149,0.00707871104067617,1.15435960656084,37
"{cookies,hot chocolate} => {coffee}",0.00369783412572636,0.614035087719298,0.00602218700475436,1.28353403384787,35
"{cake,cookies} => {coffee}",0.00422609614368727,0.579710144927536,0.00729001584786054,1.21178368412967,40
"{cookies,tea} => {coffee}",0.00390913893291072,0.397849462365591,0.0098256735340729,0.831635415479312,37
"{bread,cookies} => {coffee}",0.00528262017960909,0.364963503649635,0.0144743792921289,0.762893012818859,50
"{hot chocolate,medialuna} => {coffee}",0.00306391970417327,0.644444444444444,0.00475435816164818,1.34709952885748,29
"{medialuna,pastry} => {coffee}",0.00486001056524036,0.528735632183908,0.00919175911251981,1.10523029121482,46
"{medialuna,tea} => {coffee}",0.00369783412572636,0.454545454545455,0.00813523507659799,0.950148570510761,35
"{bread,medialuna} => {coffee}",0.00676175382989963,0.4,0.0169043845747491,0.83613074204947,64
"{hot chocolate,pastry} => {coffee}",0.00380348652931854,0.666666666666667,0.00570522979397781,1.39355123674912,36
"{cake,hot chocolate} => {coffee}",0.00686740623349181,0.601851851851852,0.0114104595879556,1.25806708873184,65
"{bread,hot chocolate} => {coffee}",0.00612783940834654,0.456692913385827,0.0134178552562071,0.954637461395064,58
"{cake,sandwich} => {coffee}",0.004648705758056,0.676923076923077,0.00686740623349181,1.41499048654526,44
"{sandwich,tea} => {coffee}",0.00538827258320127,0.375,0.0143687268885367,0.783872570671378,51
"{bread,sandwich} => {coffee}",0.00718436344426836,0.422360248447205,0.0170100369783413,0.8828709698659,68
"{pastry,tea} => {coffee}",0.004648705758056,0.483516483516484,0.00961436872688854,1.01070749038947,44
"{bread,pastry} => {coffee}",0.0111991547807713,0.384057971014493,0.0291600633914422,0.802806690735904,106
"{cake,tea} => {coffee}",0.0100369783412573,0.422222222222222,0.0237717908082409,0.882582449941107,95
"{bread,cake} => {coffee}",0.0100369783412573,0.429864253393665,0.0233491811938722,0.898556792926467,95
"{bread,tea} => {coffee}",0.00739566825145272,0.263157894736842,0.0281035393555203,0.55008601450623,70
